---,Cost,KillBonus,BaseDamage,ArmourDamage,ArmourPenetration,HelmetDamage,HelmetBleed,Weight,FalloffModifier,MinFalloffDist,MaxFalloffDist
1911,1,800,2995,25,10,100,50,0,0.8,2250,3000
57,1,300,2990,25,100,100,75,0,0.85,2500,3000
sock,1,600,2990,30,10,50,50,0,0.85,1250,2000
m9,1,400,290,40,10,50,50,0,0.85,1500,2000
de,1,600,490,35,100,100,100,0,0.85,2500,3500
revolver,1,600,950,50,100,100,100,0,0.68,1000,3500
cet9,1,500,295,25,50,80,50,0,0.8,2250,3000
smg,1,800,295,25,10,100,50,0,0.8,2250,3000
uzi,1,600,290,20,10,50,25,0,0.85,1250,2000
ak,1,600,290,35,60,100,50,0,0.85,2000,3000
mp5,1,400,290,30,10,25,25,0,0.85,1500,2500
p90,1,300,290,20,10,25,75,0,0.8,1500,2500
vanas,1,200,290,45,60,50,75,0,0.75,1000,3500
kross,1,100,290,20,10,25,25,0,0.8,1500,2500
ar9,1,400,295,25,10,100,50,0,0.8,2000,3000
shotgun,1,600,915,15,10,25,0,0,0.67,750,1500
sawedoff,1,600,940,25,10,50,10,0,0.33,250,500
drumshotgun,1,100,915,15,15,25,10,0,0.67,500,1100
autoshotgun,1,100,915,15,10,25,10,0,0.67,500,1000
ak47,1,300,925,60,100,100,100,0,1,500,4000
ak12,1,300,925,45,100,100,74,0,1,500,4000
ar,1,300,920,45,100,100,75,0,1,500,4000
aug,1,300,920,45,100,100,75,0,1,500,4000
galul,1,300,920,45,100,100,75,0,1,500,4000
m16,1,300,920,45,100,100,75,0,1,500,4000
sks,1,100,935,60,100,100,100,0,1,500,4000
akshorty,1,400,925,25,10,100,50,0,1,500,4000
vzz,1,200,920,50,10,50,25,0,0.8,2000,3500
lmga,1,100,920,60,100,100,75,0,1,500,4000
awp,1,0,9100,50,65,100,100,0,1,500,4000
autosniper,1,100,920,60,100,100,100,0,1,500,4000
antitank,1,0,9200,100,100,100,100,0,1,500,4000
scur,1,100,935,60,100,100,100,0,1,500,4000
